model,condition,task,adherence,override_resistance,trial
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,824
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,825
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,826
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4666666666666666,,827
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.6666666666666666,,828
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,829
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.26666666666666666,,830
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,831
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,832
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,833
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,834
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,835
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,836
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,837
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,838
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,839
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4666666666666666,,840
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,841
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,842
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.6,,843
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,844
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,845
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,846
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,847
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,848
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,849
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,850
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,851
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,852
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,853
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,854
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,855
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,856
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,857
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,858
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,859
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,860
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,861
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.5333333333333333,,862
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.26666666666666666,,863
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,864
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4666666666666666,,865
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,866
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.5333333333333333,,867
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,868
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,869
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,870
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,871
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,872
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,873
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,874
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,875
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,876
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,877
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.5333333333333333,,878
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,879
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,880
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,881
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,882
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,883
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,884
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,885
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,886
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,887
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,888
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.5333333333333333,,889
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,890
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,891
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,892
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.6,,893
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,894
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,895
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,896
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,897
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,898
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.4,,899
mistralai/Mistral-7B-Instruct-v0.2,C4,T1,0.3333333333333333,,900
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,901
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,902
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,903
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,904
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,905
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,906
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,907
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,908
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,909
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,910
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.26666666666666666,,911
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,912
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,913
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,914
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,915
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,916
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,917
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,918
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,919
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,920
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,921
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,922
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,923
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,924
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,925
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,926
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,927
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,928
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,929
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,930
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,931
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,932
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,933
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,934
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,935
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,936
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,937
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,938
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,939
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,940
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,941
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,942
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,943
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,944
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,945
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,946
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,947
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,948
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,949
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,950
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,951
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,952
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.36666666666666664,,953
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,954
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,955
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,956
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,957
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,958
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,959
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,960
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,961
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,962
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,963
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,964
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,965
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,966
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,967
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,968
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,969
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,970
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,971
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,972
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,973
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,974
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,975
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,976
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,977
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,978
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,979
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,980
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,981
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,982
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,983
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,984
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,985
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,986
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,987
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,988
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,989
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,990
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,991
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,992
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,993
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,994
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,995
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,996
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,997
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,998
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3333333333333333,,999
mistralai/Mistral-7B-Instruct-v0.2,C4,T2,0.3,,1000
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1001
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1002
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1003
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1004
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1005
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1006
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1007
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1008
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8666666666666666,,1009
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1010
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1011
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1012
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.9333333333333333,,1013
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1014
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1015
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1016
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1017
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1018
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1019
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1020
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1021
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1022
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1023
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1024
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1025
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1026
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1027
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1028
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1029
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1030
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,1.0,,1031
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1033
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1034
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1035
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6,,1036
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1037
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1038
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1039
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1040
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1041
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1042
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1043
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1044
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.9333333333333333,,1045
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1046
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1047
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8666666666666666,,1048
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1049
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1050
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1051
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1052
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6,,1053
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1054
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1055
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1056
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1057
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1058
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1059
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1060
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1061
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1062
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1063
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1064
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8666666666666666,,1065
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1066
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1067
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1068
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1069
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1070
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1071
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1072
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1073
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1074
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1075
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1076
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1077
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1078
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1079
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1080
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1081
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1082
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.7333333333333333,,1083
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1084
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.9333333333333333,,1085
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1086
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1087
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1088
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1089
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1090
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1091
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1092
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1093
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1094
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1095
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1096
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1097
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1098
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.6666666666666666,,1099
mistralai/Mistral-7B-Instruct-v0.2,C5,T1,0.8,,1100
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1101
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1102
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1103
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1104
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1105
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1106
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1107
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1108
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1109
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1110
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1111
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1112
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1113
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1114
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8333333333333334,,1115
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1116
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1117
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1118
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1119
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1120
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1121
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1122
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1123
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1124
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1125
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1126
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1127
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1128
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1129
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1130
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1131
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1132
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1133
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1134
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1135
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1136
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1137
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1138
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1139
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1140
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1141
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1142
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1143
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1144
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8333333333333334,,1145
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1146
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1147
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1148
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1149
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1150
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1151
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1152
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1153
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1154
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1155
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1156
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1157
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1158
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1159
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1160
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1161
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1162
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1163
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1164
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1165
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1166
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1167
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1168
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1169
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1170
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1171
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1172
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1173
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1174
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1175
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1176
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1177
mistralai/Mistral-7B-Instruct-v0.2,C5,T2,0.8,,1178
